plot_rank,node_matlab,peak_attack_step_matlab,tilted_peak_amplitude
1,37,2,0.394139384042
2,49,2,0.349376526568
3,21,8,0.152690810946
4,28,8,0.0838010114762
5,34,9,0.0827989902309
6,27,6,0.0746361568755
7,35,11,0.0696174580087
8,22,11,0.0679688206823
9,9,8,0.0478152865007
10,29,9,0.04765018475
11,55,8,0.0467217976202
12,57,8,0.0467217976202
13,59,7,0.0466810130245
14,60,9,0.046472518587
15,39,10,0.0460564726207
16,40,8,0.0457277168198
17,26,9,0.0455666215385
18,16,10,0.0453996958276
19,18,9,0.0452948524239
20,32,9,0.0452948524239
21,43,10,0.0452355016293
22,52,10,0.0452355016293
23,8,8,0.0451312683395
24,11,10,0.0448250161335
25,5,9,0.0444795450803
26,25,11,0.0444382697515
27,31,9,0.0441171862609
28,13,7,0.0440694878203
29,24,8,0.044037779459
30,30,9,0.0440265965561
31,17,7,0.04385186072
32,61,9,0.0438454171464
33,38,10,0.0437577538446
34,33,8,0.0437395552189
35,19,11,0.0436888891486
36,12,10,0.0435935596464
37,63,10,0.0435935596464
38,42,8,0.0434413309788
39,53,9,0.0433924686221
40,15,8,0.0433419228987
41,7,8,0.0432425148187
42,44,11,0.0431643227266
43,58,9,0.0430301098027
44,51,9,0.042848930393
45,54,9,0.0427583406882
46,10,8,0.0425466582584
47,23,7,0.0425460981179
48,56,9,0.0424865715736
49,36,10,0.04228000606
50,3,7,0.0422196574673
51,2,9,0.0417618539349
52,41,13,0.0413243110191
53,20,6,0.0411501086091
54,4,8,0.0410555370577
55,14,8,0.0409561289777
56,6,5,0.0405512017378
57,1,9,0.0394065216088
58,66,12,0.0344451470477
59,47,12,0.033626648504
60,45,10,0.033249325154
61,48,10,0.0323462570634
62,64,12,0.0320578596285
63,50,14,0.0276614290055
64,65,14,0.0273684053931
65,62,16,0.0269126691715
66,46,14,0.0254344495516
