index,label,cluster,is_critical
0,AAR2,2,0
1,ABP1,2,0
2,ACC1,2,0
3,ACE2,2,0
4,ACF2,2,0
5,ACM1,2,0
6,ACT1,2,0
7,ADA2,2,0
8,ADD66,2,0
9,ADE16,2,0
10,ADR1,2,0
11,AFG2,1,1
12,AFT1,2,0
13,AHA1,2,0
14,AHC1,2,0
15,AHC2,2,0
16,AIM11,2,0
17,AIM21,1,1
18,AIM22,2,0
19,AIM3,2,0
20,AIM4,2,0
21,AIM44,2,0
22,AIP1,2,0
23,AIR1,2,0
24,AIR2,2,0
25,AKR1,2,0
26,ALB1,2,0
27,ALY1,1,1
28,ALY2,1,1
29,AME1,2,0
30,AMN1,2,0
31,AMS1,2,0
32,AOS1,1,1
33,APC1,1,1
34,APC11,1,1
35,APC2,2,0
36,APC4,2,0
37,APC5,2,0
38,APC9,2,0
39,APE1,2,0
40,APL5,2,0
41,APL6,2,0
42,APM3,2,0
43,APP1,1,1
44,ARC15,2,0
45,ARC18,1,1
46,ARC19,2,0
47,ARC35,2,0
48,ARC40,2,0
49,ARG80,2,0
50,ARG81,2,0
51,ARG82,2,0
52,ARH1,2,0
53,ARK1,2,0
54,ARP1,1,1
55,ARP10,2,0
56,ARP2,2,0
57,ARP3,2,0
58,ARP4,2,0
59,ARP5,2,0
60,ARP6,2,0
61,ARP7,1,1
62,ARP8,1,1
63,ARP9,1,1
64,ART10,2,0
65,ART5,2,0
66,ARX1,2,0
67,ASC1,2,0
68,ASF1,2,0
69,ASH1,2,0
70,ASK1,2,0
71,ASK10,2,0
72,ASM4,2,0
73,ASR1,2,0
74,ATG1,1,1
75,ATG10,2,0
76,ATG11,2,0
77,ATG12,2,0
78,ATG13,1,1
79,ATG16,2,0
80,ATG17,2,0
81,ATG18,2,0
82,ATG19,2,0
83,ATG2,2,0
84,ATG23,2,0
85,ATG27,2,0
86,ATG29,2,0
87,ATG3,2,0
88,ATG31,2,0
89,ATG32,2,0
90,ATG34,2,0
91,ATG36,2,0
92,ATG4,2,0
93,ATG5,2,0
94,ATG7,2,0
95,ATG8,2,0
96,ATG9,2,0
97,ATP25,1,1
98,ATS1,2,0
99,AVO1,2,0
100,AVO2,2,0
101,AXL1,2,0
102,BAS1,2,0
103,BBC1,2,0
104,BBP1,2,0
105,BCK1,2,0
106,BCY1,2,0
107,BDF1,2,0
108,BDF2,2,0
109,BDP1,1,1
110,BEM1,1,1
111,BEM3,1,1
112,BEM4,2,0
113,BET1,2,0
114,BET2,2,0
115,BET3,2,0
116,BET5,2,0
117,BFA1,1,1
118,BFR1,2,0
119,BFR2,1,1
120,BIK1,2,0
121,BIM1,2,0
122,BIR1,2,0
123,BIT61,2,0
124,BLM10,2,0
125,BMH1,2,0
126,BMH2,2,0
127,BMS1,2,0
128,BNI1,1,1
129,BNI4,2,0
